account_id,customer_id,customer_name,customer_type,product_type,sector,state,branch_code,relationship_manager_id,sanction_date,disbursement_date,maturity_date,tenure_months,sanctioned_amount,outstanding_amount,interest_rate_pct,repayment_frequency,collateral_secured,collateral_type,collateral_value,collateral_last_valuation_days_ago,restructured_flag,restructure_count,bureau_score,bureau_score_3m_change,existing_relationship_years,kyc_risk_category,cross_bank_dpd_reported,current_ratio,dscr,leverage_ratio,dpd_days,bounce_count_6m,limit_utilization_pct,irac_category,irac_subcategory,ecl_stage,irac_provision_rate,irac_floor_provision,pd_30d,pd_60d,pd_90d,pd_180d,lgd_estimate,ead,ecl_estimated_provision,recommended_provision,risk_score_100,ews_signal_count_90d,ews_primary_signal,ews_severity,npa_alert_flag,sma_watch_flag,ews_alert_flag,any_alert_flag,alert_priority,alert_reason,needs_review,approval_status,override_reason,macro_repo_rate_at_sanction,model_version,snapshot_date
LN100000,CU208478,Mishra Constructions,MSME,MSME Term Loan,MSME - Manufacturing,Tamil Nadu,BR0137,RM0001,2025-08-14,2025-08-21,2030-08-12,60,25000.0,20100.0,10.37,Monthly,True,Hypothecation of Assets/Stock,30700.0,205.0,False,0,686,-28,8.8,Medium,0,1.37,1.52,1.62,14,0,0.0,Standard,SMA0,Stage 1,0.004,80.4,0.0781,0.0943,0.0943,0.1812,0.05,20761.26,97.92,97.92,9.7,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,6.5,EWS-PD-v2.4.0,2025-12-31
LN100001,CU273525,Subramaniam Motors,MSME,Overdraft,Retail/Individual,Rajasthan,BR0125,RM0498,2025-06-21,2025-07-01,2028-06-19,36,25000.0,23000.0,10.71,Revolving/On-Demand,False,Unsecured,0.0,0.0,False,0,762,-24,12.3,Low,0,1.86,0.4,1.86,21,1,54.692288673217405,Standard,SMA0,Stage 1,0.004,92.0,0.0388,0.0388,0.0802,0.0802,0.6059,22490.65,1092.44,1092.44,10.8,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,5.75,EWS-PD-v2.4.1,2025-12-31
LN100002,CU262184,Debashish Banerjee,Individual,Home Loan,Retail/Individual,Karnataka,BR0149,RM0071,2024-09-18,2024-09-25,2044-09-09,240,25000.0,18700.0,8.72,Monthly,True,Immovable Property,38000.0,217.0,False,0,816,-12,6.5,Low,0,0.0,0.0,0.0,6,0,0.0,Standard,SMA0,Stage 1,0.004,74.8,0.0427,0.0437,0.0917,0.0917,0.05,18934.05,86.79,86.79,5.1,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,5.5,EWS-PD-v2.3.1,2025-12-31
LN100003,CU241693,Sai Shah,Individual,Auto Loan,Textiles,Madhya Pradesh,BR0176,RM0441,2024-02-09,2024-02-19,2031-02-05,84,25000.0,16800.0,8.75,Monthly,True,Vehicle Hypothecation,34200.0,806.0,False,0,634,30,9.9,Medium,0,0.0,0.0,0.0,64,3,0.0,Standard,SMA2,Stage 2,0.004,67.2,0.1414,0.1433,0.1802,0.2459,0.05,17581.36,158.41,158.41,17.6,0,None,None,False,True,False,True,Medium,"SMA2: 61-90 DPD, imminent NPA slippage risk",True,Overridden,One-time settlement in progress,6.5,EWS-PD-v2.4.1,2025-12-31
LN100004,CU241136,Chandran Traders,MSME,MSME Term Loan,Agriculture & Allied,Rajasthan,BR0015,RM0011,2021-10-20,2021-10-27,2026-10-18,60,25000.0,19400.0,10.68,Monthly,True,Hypothecation of Assets/Stock,22800.0,335.0,False,0,763,39,0.0,Low,0,2.83,1.76,0.46,16,0,0.0,Standard,SMA0,Stage 1,0.004,77.6,0.001,0.0215,0.1052,0.1052,0.05,20358.11,107.12,107.12,8.7,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,6.5,EWS-PD-v2.3.1,2025-12-31
LN100005,CU281566,Menon Constructions,MSME,Overdraft,Textiles,Delhi,BR0212,RM0520,2024-12-16,2024-12-24,2027-12-15,36,25000.0,22800.0,10.85,Revolving/On-Demand,False,Unsecured,0.0,0.0,False,0,750,4,1.8,Low,0,1.74,1.39,2.87,4,0,48.087288893827306,Standard,SMA0,Stage 1,0.004,91.2,0.065,0.1649,0.1649,0.1959,0.65,22771.45,2441.07,2441.07,7.1,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,5.5,EWS-PD-v2.4.0,2025-12-31
LN100006,CU208164,Rashmi Shah,Individual,Gold Loan,MSME - Manufacturing,Tamil Nadu,BR0076,RM0150,2022-12-15,2022-12-29,2025-12-13,36,25000.0,17800.0,9.84,Monthly,True,Gold Ornaments,25200.0,483.0,False,0,698,40,0.6,Medium,0,0.0,0.0,0.0,22,0,0.0,Standard,SMA0,Stage 1,0.004,71.2,0.0201,0.0248,0.0248,0.0531,0.05,17020.75,21.11,71.2,4.9,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,6.0,EWS-PD-v2.4.1,2025-12-31
LN100007,CU266249,Chauhan Group,Corporate,Corporate Term Loan,NBFC/Financial Services,Karnataka,BR0061,RM0569,2020-10-31,2020-11-03,2027-10-28,84,25000.0,12500.0,9.94,Monthly,True,Hypothecation of Assets/Stock,37300.0,794.0,False,0,744,22,0.9,Low,0,1.4,1.16,4.3,13,0,0.0,Standard,SMA0,Stage 1,0.004,50.0,0.0126,0.0192,0.0192,0.03,0.05,12997.85,12.46,50.0,3.4,0,None,None,False,False,False,False,None,No alert,False,Not Required,NA,6.25,EWS-PD-v2.3.1,2025-12-31
LN100008,CU219139,Chopra Enterprises,MSME,Cash Credit,Textiles,Uttar Pradesh,BR0134,RM0284,2024-03-06,2024-03-16,2027-03-05,36,25000.0,18300.0,9.36,Revolving/On-Demand,False,Unsecured,0.0,0.0,False,0,801,18,6.2,Low,0,2.26,2.22,4.21,37,0,21.764565695004798,Standard,SMA1,Stage 2,0.004,73.2,0.0628,0.1618,0.217,0.2424,0.7925,17971.05,3090.5,3090.5,24.4,5,Statutory Dues Overdue,High,False,True,False,True,Low,"SMA1: 31-60 DPD, repayment stress building",True,Approved,NA,6.25,EWS-PD-v2.4.1,2025-12-31
LN100009,CU208946,Dutta Electricals,MSME,MSME Term Loan,Gems & Jewellery,Gujarat,BR0247,RM0339,2019-12-25,2019-12-28,2024-12-22,60,25000.0,8600.0,11.39,Monthly,True,Hypothecation of Assets/Stock,37600.0,718.0,False,0,762,2,3.3,Low,178,1.56,1.68,2.13,567,3,0.0,NPA,Doubtful,Stage 3,0.4,3440.0,0.2206,0.3753,0.8,0.83,0.55,8550.53,3762.23,3762.23,83.3,0,None,None,True,False,False,True,Critical,"NPA - Doubtful: 456-820 DPD, recovery highly uncertain",True,Approved,NA,6.5,EWS-PD-v2.4.0,2025-12-31
